shk_id,state_id,wh_id,dt
771648004,SMS,390,2024-01-27 20:37:18.000
839753454,WMI,390,2024-01-26 00:55:57.000
839753454,WMI,390,2024-01-26 00:55:58.855
951433464,SMS,390,2023-12-13 17:53:57.000
781847674,SPS,390,2024-05-25 14:54:52.553
781847674,SMS,390,2024-05-25 15:07:21.000
989310584,SMS,390,2024-04-10 14:14:59.000
192487164,SMS,390,2023-05-04 19:18:06.000
268149684,SMS,390,2023-05-04 17:23:41.000
747225174,SMS,390,2023-09-29 17:14:45.160
747225174,SMS,390,2023-09-29 17:14:46.527
949622684,WMI,390,2023-09-25 16:27:00.000
949622684,WMI,390,2023-09-25 16:27:02.280
173047200,SMS,390,2023-11-08 15:32:35.944
1132711824,SMS,390,2024-04-10 16:35:12.000
237361550,SMS,390,2023-08-14 20:23:43.000
266689790,SMS,390,2023-08-19 20:42:11.000
362849380,SMS,390,2023-08-20 03:46:07.000
312219444,SMS,390,2023-08-19 01:35:51.000
728018334,SMS,390,2023-08-15 23:31:07.000
16700824,WMI,390,2024-02-27 23:11:59.000
16700824,WMI,390,2024-02-27 23:12:01.938
46249234,WMI,390,2024-03-02 15:20:41.000
46249234,WMI,390,2024-03-02 15:20:50.244
1137985754,WMI,390,2024-02-28 15:35:03.000
1137985754,WMI,390,2024-02-28 15:35:17.885
402022934,SPS,390,2024-06-25 12:03:00.828
402022934,SMS,390,2024-06-25 12:06:02.000
1176683124,SPS,390,2024-06-25 18:35:24.886
1176683124,SMS,390,2024-06-25 18:45:28.000
1249110554,SMC,390,2024-06-27 12:02:18.913
85371742,WMI,390,2023-11-06 21:34:29.000
85371742,WMI,390,2023-11-06 21:35:05.301
861810302,SMS,390,2023-11-08 10:23:44.605
1882266804,WOG,390,2024-01-27 10:22:01.286
288627054,SMS,390,2023-06-25 20:49:43.000
470435684,SMS,390,2023-06-23 03:30:58.000
474780714,SPS,390,2023-06-19 04:37:14.000
474780714,SPS,390,2023-06-19 23:38:32.000
474780714,SPS,390,2023-06-20 02:35:46.000
474780714,SMS,390,2023-06-20 10:49:07.000
927165574,SOF,390,2023-06-24 05:55:32.000
1035801970,SMS,390,2023-11-08 12:46:35.351
1536233010,WMI,390,2023-11-06 21:41:10.000
1536233010,WMI,390,2023-11-06 21:41:14.689
931725944,SMS,390,2023-11-08 17:08:52.279
1198747804,SMS,390,2023-11-06 21:26:42.310
1301412004,SMS,390,2023-11-09 15:55:26.059
1268014124,SPS,390,2024-05-21 20:46:44.298
1268014124,SMS,390,2024-05-21 22:09:40.000
2290921594,SPS,390,2024-05-21 19:42:04.783
2290921594,SMS,390,2024-05-21 20:47:36.000
1198747802,SMS,390,2023-11-06 21:26:49.915
1224339852,SMS,390,2023-11-10 02:17:25.836
1282633292,WOG,390,2023-11-06 20:00:14.927
439920740,SOF,390,2023-05-07 07:24:19.000
439920740,SOF,390,2023-05-07 15:36:11.000
439920740,SOF,390,2023-05-07 17:15:47.000
760462880,SMS,390,2023-05-07 12:12:05.000
773425570,SMS,390,2023-05-04 22:19:37.000
1292070910,SMS,390,2023-05-07 12:47:54.000
90117040,SPS,390,2024-06-25 11:16:48.194
90117040,SMS,390,2024-06-25 11:34:35.000
793264560,SPS,390,2024-06-25 06:05:12.027
793264560,SMS,390,2024-06-25 09:21:09.000
845753130,SPS,390,2024-06-25 09:11:33.299
845753130,SMS,390,2024-06-25 11:17:06.415
1625029480,SPS,390,2024-06-25 05:12:28.183
1625029480,SMS,390,2024-06-25 07:46:46.000
1878677000,SPS,390,2024-06-25 18:18:15.587
1878677000,SMS,390,2024-06-25 20:10:44.000
2247006210,SPS,390,2024-06-25 06:32:42.317
2247006210,SMS,390,2024-06-25 22:28:37.685
1198008570,SMS,390,2023-08-19 22:44:01.000
1209941900,SMS,390,2023-08-15 04:44:39.000
1625680290,SMS,390,2023-08-14 16:16:24.000
385222540,SMS,390,2023-10-03 12:37:42.255
392011000,SMS,390,2023-10-06 11:57:38.185
803183910,SMS,390,2023-10-06 02:02:11.802
910399220,WMI,390,2023-10-04 07:03:32.000
910399220,WMI,390,2023-10-04 07:03:36.059
917559940,SMS,390,2023-10-04 20:38:42.645
386197360,SMS,390,2023-06-20 09:59:51.000
898356060,SMS,390,2023-06-20 10:03:45.000
1009482510,SMS,390,2023-06-20 16:34:12.000
1012480520,SMS,390,2023-06-22 14:05:16.000
1012566140,SMS,390,2023-06-19 02:39:42.000
230236435,SMS,390,2024-03-08 09:25:17.187
953787344,WMI,390,2023-09-25 23:42:26.000
953787344,WMI,390,2023-09-25 23:42:29.049
1611486834,SMS,390,2023-09-29 07:42:52.720
1297760974,SMS,390,2023-08-15 22:39:56.000
1800561624,SMS,390,2023-08-15 21:06:15.000
1812760934,WMI,390,2023-08-14 08:23:33.000
1812760934,WMI,390,2023-08-14 08:23:36.420
1898273130,SMS,390,2023-11-11 21:35:34.255
2308229190,SMS,390,2023-11-09 21:43:24.584
1259307694,WOG,390,2024-03-02 12:03:49.689
1491794704,SMS,390,2024-03-01 08:52:45.000
1998963164,SMS,390,2024-02-26 20:59:47.000
